number,value,datetime_start,datetime_complete,duration,params_sigma_scale_Prosody,params_sigma_scale_Scene,params_sigma_scale_Timbre,params_sigma_scale_Vocal_Tract,params_sigma_scale_Voice_Quality,params_tau,user_attrs_effective_rank,user_attrs_effective_rank_avg,user_attrs_group_breakdown,user_attrs_max_group_uniformity,user_attrs_min_group_alignment,user_attrs_min_group_rank,user_attrs_uniformity,user_attrs_uniformity_avg,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
0,0.8296835697889329,2026-07-27 15:34:43.648319,2026-07-27 15:43:59.131200,0 days 00:09:15.482881,0.6446067917131442,0.01980941314259345,0.13781642084590057,0.2472010671271316,0.019811507008137993,0.40581311290499433,2.0816922187805176,3.2558860139846804,"{""Prosody"": {""alignment"": 0.9850437641143799, ""uniformity"": -0.05983888413757086, ""effective_rank"": 2.1024698400497437, ""weight_entropy_ratio"": 0.8618423800718559}, ""Vocal_Tract"": {""alignment"": 0.9826144981384277, ""uniformity"": -0.06185013085603714, ""effective_rank"": 2.120437784194946, ""weight_entropy_ratio"": 0.48837897946889447}, ""Timbre"": {""alignment"": 0.7640802478790283, ""uniformity"": -1.1847760963439942, ""effective_rank"": 5.16487154006958, ""weight_entropy_ratio"": 0.17818182166767027}, ""Voice_Quality"": {""alignment"": 0.9851255202293396, ""uniformity"": -0.056435653902590276, ""effective_rank"": 2.0816922187805176, ""weight_entropy_ratio"": 0.10863418255237318}, ""Scene"": {""alignment"": 0.43155381858348846, ""uniformity"": -1.0392212510108947, ""effective_rank"": 4.8099586868286135, ""weight_entropy_ratio"": 0.002951348109211645}}",-0.056435653902590276,0.43155381858348846,2.0816922187805176,-0.056435653902590276,-0.48042440325021746,0.3279977423740011,"[0.39356434609740976, 0.4183077812194824]",COMPLETE
1,0.9858446841239928,2026-07-27 15:44:03.019795,2026-07-27 15:53:05.303182,0 days 00:09:02.283387,0.44505240269526736,0.7011738775284215,0.22260034488269825,0.13930796876870888,0.010943951128356732,0.10517943155978948,1.5574125289916991,2.312546320915222,"{""Prosody"": {""alignment"": 0.9980131983757019, ""uniformity"": -0.01519928814843297, ""effective_rank"": 1.5656862831115723, ""weight_entropy_ratio"": 0.7536295325479885}, ""Vocal_Tract"": {""alignment"": 0.9965156865119934, ""uniformity"": -0.015101791778579354, ""effective_rank"": 1.5574125289916991, ""weight_entropy_ratio"": 0.23614737350637113}, ""Timbre"": {""alignment"": 0.9536032032966614, ""uniformity"": -0.44712360501289367, ""effective_rank"": 3.7074917697906495, ""weight_entropy_ratio"": 0.4018108897884197}, ""Voice_Quality"": {""alignment"": 0.9954499554634094, ""uniformity"": -0.017288286648690702, ""effective_rank"": 1.595828309059143, ""weight_entropy_ratio"": 0.04761601486951753}, ""Scene"": {""alignment"": 0.9856413769721984, ""uniformity"": -0.20810754358768463, ""effective_rank"": 3.136312713623047, ""weight_entropy_ratio"": 0.8868413785572872}}",-0.015101791778579354,0.9536032032966614,1.5574125289916991,-0.015101791778579354,-0.14056410303525627,0.4652090378539168,"[0.43489820822142067, 0.9425874710083009]",COMPLETE
2,0.9107881989479064,2026-07-27 15:53:08.679499,2026-07-27 16:02:09.907404,0 days 00:09:01.227905,0.025357149746909252,0.09969163314376206,0.02233753707146985,0.022183459467487607,0.0379315304811478,0.8408205087604007,1.3240080499649047,2.143849546432495,"{""Prosody"": {""alignment"": 0.998978135585785, ""uniformity"": -0.00422893694601953, ""effective_rank"": 1.3240080499649047, ""weight_entropy_ratio"": 0.0177332186236674}, ""Vocal_Tract"": {""alignment"": 0.9968782520294189, ""uniformity"": -0.008087644018232823, ""effective_rank"": 1.4492305183410645, ""weight_entropy_ratio"": 0.0031832908534911424}, ""Timbre"": {""alignment"": 0.7441851329803467, ""uniformity"": -0.3236143672466278, ""effective_rank"": 2.8921382331848147, ""weight_entropy_ratio"": 0.0002084107445052601}, ""Voice_Quality"": {""alignment"": 0.997756359577179, ""uniformity"": -0.004631058117374778, ""effective_rank"": 1.3365446519851685, ""weight_entropy_ratio"": 0.19415355937412535}, ""Scene"": {""alignment"": 0.816143114566803, ""uniformity"": -0.9667245221138, ""effective_rank"": 3.7173262786865235, ""weight_entropy_ratio"": 0.14216621942536609}}",-0.00422893694601953,0.7441851329803467,1.3240080499649047,-0.00422893694601953,-0.261457305688411,0.07148893980423104,"[0.44577106305398045, 1.1759919500350953]",COMPLETE
3,0.8996341869831085,2026-07-27 16:02:13.260401,2026-07-27 16:11:14.285090,0 days 00:09:01.024689,0.03582904732228081,0.049798877730035475,0.01842762515380366,0.14601958757320885,0.035973074355814795,0.46034776771000996,1.4211350727081298,2.07259610748291,"{""Prosody"": {""alignment"": 0.9976119232177735, ""uniformity"": -0.00948149299249053, ""effective_rank"": 1.4216010141372681, ""weight_entropy_ratio"": 0.033419053418506574}, ""Vocal_Tract"": {""alignment"": 0.9976080942153931, ""uniformity"": -0.009497083816677332, ""effective_rank"": 1.4211350727081298, ""weight_entropy_ratio"": 0.2644260878149681}, ""Timbre"": {""alignment"": 0.6107251965999603, ""uniformity"": -0.3549541670084, ""effective_rank"": 2.8214431476593016, ""weight_entropy_ratio"": 0.00011784794409189494}, ""Voice_Quality"": {""alignment"": 0.99729816198349, ""uniformity"": -0.010367337726056575, ""effective_rank"": 1.436929326057434, ""weight_entropy_ratio"": 0.18589623925152993}, ""Scene"": {""alignment"": 0.8949275588989258, ""uniformity"": -0.676511322259903, ""effective_rank"": 3.261871976852417, ""weight_entropy_ratio"": 0.03511336220771838}}",-0.00948149299249053,0.6107251965999603,1.4211350727081298,-0.00948149299249053,-0.21216228076070545,0.10379451812736297,"[0.4405185070075095, 1.0788649272918702]",COMPLETE
4,0.8113199986219405,2026-07-27 16:11:17.669895,2026-07-27 16:20:23.945048,0 days 00:09:06.275153,0.3120761001246059,0.012257426996771148,0.0951994437281987,0.023988173178435747,0.13409674439039196,0.4832664850061841,2.0798396396636964,3.2787691946029662,"{""Prosody"": {""alignment"": 0.9840341997146607, ""uniformity"": -0.06506677813827992, ""effective_rank"": 2.1230377197265624, ""weight_entropy_ratio"": 0.617227067194888}, ""Vocal_Tract"": {""alignment"": 0.9710062074661255, ""uniformity"": -0.10798952877521514, ""effective_rank"": 2.3685265398025512, ""weight_entropy_ratio"": 0.005344343008661142}, ""Timbre"": {""alignment"": 0.7552127432823181, ""uniformity"": -1.0914633345603943, ""effective_rank"": 4.960635223388672, ""weight_entropy_ratio"": 0.08189036942887024}, ""Voice_Quality"": {""alignment"": 0.9842640638351441, ""uniformity"": -0.059636581167578695, ""effective_rank"": 2.0798396396636964, ""weight_entropy_ratio"": 0.46904148828864933}, ""Scene"": {""alignment"": 0.3620827788114548, ""uniformity"": -1.1086051607131957, ""effective_rank"": 4.86180685043335, ""weight_entropy_ratio"": 0.00029910262730862186}}",-0.059636581167578695,0.3620827788114548,2.0798396396636964,-0.059636581167578695,-0.48655227667093276,0.2347604741096755,"[0.3903634188324213, 0.42016036033630355]",COMPLETE
5,0.9115855751037597,2026-07-27 16:20:27.342159,2026-07-27 16:29:30.875125,0 days 00:09:03.532966,0.02111167795251689,0.3455038560200077,0.6394617395245432,0.013298389079948765,0.6881524386672039,0.6271676093063665,2.455061001777649,3.7333001451492316,"{""Prosody"": {""alignment"": 0.9709499549865722, ""uniformity"": -0.09882744446396828, ""effective_rank"": 2.5730643463134766, ""weight_entropy_ratio"": 0.009911465474062752}, ""Vocal_Tract"": {""alignment"": 0.8690369987487793, ""uniformity"": -0.29897102802991865, ""effective_rank"": 3.5055458545684814, ""weight_entropy_ratio"": 0.0009360245351232016}, ""Timbre"": {""alignment"": 0.9116417670249939, ""uniformity"": -0.7710946953296661, ""effective_rank"": 4.518793039321899, ""weight_entropy_ratio"": 0.9040638751044956}, ""Voice_Quality"": {""alignment"": 0.9787684440612793, ""uniformity"": -0.07647362142801285, ""effective_rank"": 2.455061001777649, ""weight_entropy_ratio"": 0.8454334911120442}, ""Scene"": {""alignment"": 0.8275307106971741, ""uniformity"": -1.1517042660713195, ""effective_rank"": 5.614036483764648, ""weight_entropy_ratio"": 0.6453169587480359}}",-0.07647362142801285,0.8275307106971741,2.455061001777649,-0.07647362142801285,-0.47941421106457716,0.4811323629947523,"[0.37352637857198717, 0.044938998222351145]",COMPLETE
6,0.9313999276161193,2026-07-27 16:29:34.331856,2026-07-27 16:38:34.544284,0 days 00:09:00.212428,0.015341888502386696,0.08757219176818286,0.0688097220539007,0.20051968861243996,0.017070637605872362,0.33938308071470213,1.917656421661377,2.833013415336609,"{""Prosody"": {""alignment"": 0.9879957914352417, ""uniformity"": -0.041556294709444046, ""effective_rank"": 1.9677096223831176, ""weight_entropy_ratio"": 0.005447817950884816}, ""Vocal_Tract"": {""alignment"": 0.9891993641853333, ""uniformity"": -0.0396583329513669, ""effective_rank"": 1.926380672454834, ""weight_entropy_ratio"": 0.3932973203235592}, ""Timbre"": {""alignment"": 0.8128957772254943, ""uniformity"": -0.9563709831237793, ""effective_rank"": 4.470922288894653, ""weight_entropy_ratio"": 0.037819931614311644}, ""Voice_Quality"": {""alignment"": 0.9888296627998352, ""uniformity"": -0.03964767072349787, ""effective_rank"": 1.917656421661377, ""weight_entropy_ratio"": 0.08674529098712347}, ""Scene"": {""alignment"": 0.8780790424346924, ""uniformity"": -0.7984531044960022, ""effective_rank"": 3.8823980712890624, ""weight_entropy_ratio"": 0.12396708958799861}}",-0.03964767072349787,0.8128957772254943,1.917656421661377,-0.03964767072349787,-0.375137277200818,0.12945549009277554,"[0.4103523292765021, 0.582343578338623]",COMPLETE
7,0.9726501789093018,2026-07-27 16:38:40.186825,2026-07-27 16:47:47.659615,0 days 00:09:07.472790,0.537673400929284,0.09766439040435951,0.18232218861172397,0.031080041628153792,0.039193516226890844,0.08266909505945748,2.3681923866271974,3.368523425102234,"{""Prosody"": {""alignment"": 0.9919352149963379, ""uniformity"": -0.04276897989213466, ""effective_rank"": 2.386289954185486, ""weight_entropy_ratio"": 0.8074929867326497}, ""Vocal_Tract"": {""alignment"": 0.9822616505622864, ""uniformity"": -0.0695930652320385, ""effective_rank"": 2.6891978359222413, ""weight_entropy_ratio"": 0.00972865017204741}, ""Timbre"": {""alignment"": 0.9541592383384705, ""uniformity"": -0.512451274394989, ""effective_rank"": 4.65390007019043, ""weight_entropy_ratio"": 0.2994879670519756}, ""Voice_Quality"": {""alignment"": 0.989485547542572, ""uniformity"": -0.04133856810629368, ""effective_rank"": 2.3681923866271974, ""weight_entropy_ratio"": 0.20494445920476168}, ""Scene"": {""alignment"": 0.945409243106842, ""uniformity"": -0.5562496840953827, ""effective_rank"": 4.7450368785858155, ""weight_entropy_ratio"": 0.14816147484088157}}",-0.04133856810629368,0.945409243106842,2.3681923866271974,-0.04133856810629368,-0.2444803143441677,0.2939631076004632,"[0.40866143189370635, 0.13180761337280256]",COMPLETE
8,0.9036542658805848,2026-07-27 16:47:52.259517,2026-07-27 16:56:52.775335,0 days 00:09:00.515818,0.022479914927288545,0.5045880612021502,0.29863968217735326,0.7001753169203452,0.6136928005932464,0.5693747653761156,2.739987840652466,4.089213022232056,"{""Prosody"": {""alignment"": 0.9636691999435425, ""uniformity"": -0.12705944448709489, ""effective_rank"": 2.9457880878448486, ""weight_entropy_ratio"": 0.01240802676540256}, ""Vocal_Tract"": {""alignment"": 0.9748034954071045, ""uniformity"": -0.09675665378570557, ""effective_rank"": 2.76070294380188, ""weight_entropy_ratio"": 0.87795798976361}, ""Timbre"": {""alignment"": 0.7639441776275635, ""uniformity"": -1.608681216239929, ""effective_rank"": 6.355457992553711, ""weight_entropy_ratio"": 0.5644469983012532}, ""Voice_Quality"": {""alignment"": 0.9749249863624573, ""uniformity"": -0.09102184444665909, ""effective_rank"": 2.739987840652466, ""weight_entropy_ratio"": 0.824506795832831}, ""Scene"": {""alignment"": 0.8409294700622558, ""uniformity"": -1.2086103343963623, ""effective_rank"": 5.644128246307373, ""weight_entropy_ratio"": 0.8058380714769234}}",-0.09102184444665909,0.7639441776275635,2.739987840652466,-0.09102184444665909,-0.6264258986711502,0.6170315764280041,"[0.3589781555533409, -0.23998784065246603]",COMPLETE
9,0.8500982250571251,2026-07-27 16:56:56.232030,2026-07-27 17:06:04.697752,0 days 00:09:08.465722,0.5680801652040023,0.04160378994089616,0.02360331612789734,0.014737003768595706,0.012191905861905931,0.6180049798705309,1.6662542486190797,2.012681009292603,"{""Prosody"": {""alignment"": 0.9944229054450989, ""uniformity"": -0.02736042261123657, ""effective_rank"": 1.6662542486190797, ""weight_entropy_ratio"": 0.8282675088067388}, ""Vocal_Tract"": {""alignment"": 0.9903919434547425, ""uniformity"": -0.036915818229317665, ""effective_rank"": 1.716011266708374, ""weight_entropy_ratio"": 0.0011682570980622183}, ""Timbre"": {""alignment"": 0.3817927834391594, ""uniformity"": -0.51390245616436, ""effective_rank"": 2.5110175609588623, ""weight_entropy_ratio"": 0.0010550393371089517}, ""Voice_Quality"": {""alignment"": 0.9926861071586609, ""uniformity"": -0.02770336702466011, ""effective_rank"": 1.671033387184143, ""weight_entropy_ratio"": 0.055433544416394726}, ""Scene"": {""alignment"": 0.8911973857879638, ""uniformity"": -0.5066492140293122, ""effective_rank"": 2.4990885829925538, ""weight_entropy_ratio"": 0.02236479331758165}}",-0.02736042261123657,0.3817927834391594,1.6662542486190797,-0.02736042261123657,-0.2225062556117773,0.18165782859517726,"[0.42263957738876345, 0.8337457513809203]",COMPLETE
